"Description Product ID","Part Number","Key Feature Product ID","Part Number"
51848,1336-B015-EAE-FA2-L3-S1,73563,SP-151145
51849,1336-B015-EAE-L3,73564,SP-151143
51846,1336-B015-EAE-L3-S1,73570,SP-142742
51845,1336-B015-EAE-S1,73576,SP-151135
51855,1336-B015-ECE,73577,SP-151134
51856,1336-B015-ECE-L3,73578,SP-151133
51857,1336-B020-E0E,73579,SP-151132
51861,1336-B020-E0E-FA2-L3,73580,SP-151131
51864,1336-B020-EAE,73582,SP-142738
51865,1336-B020-EAE-FA2,73583,SP-142736
51866,1336-B020-EAE-FA2-L1,73584,SP-142695
51867,1336-B020-EAE-FA2-L3,73611,SP-142535
51868,1336-B020-EAE-FA2-L3-S1,73627,1336F-MCB-SP1J
51869,1336-B020-EAE-S1,73634,SP-151166
51862,1336-B020-EJE,73635,SP-151160
51863,1336-B020-EJE-L3,73660,SP-151170
51872,1336-B025-EAF,73661,SP-151171
51874,1336-B025-EAF-FA2-L3,73662,SP-151172
51873,1336-B025-EAF-S1,73663,SP-151174
51875,1336-B025-EAF-S1-HJP-L1,73696,SP-151168
51883,1336-B025-ECF,73697,SP-151169
51884,1336-B025-ECF-FC3-L3,15079,1336-WC085
51877,1336-B025-EOF,15080,1336R-PRE-VB078-AA
51879,1336-B025-EOF-FA2-L3,15078,1336-WC035
51882,1336-B025-EOF-FA2-L3-S1,15077,1336-WC009
51880,1336-B025-EOF-L2,15076,1336-WB110
51885,1336-B030-E0F,15075,1336-WB035
51889,1336-B030-E0F-FA2-L3,15074,1336-WB009
51886,1336-B030-E0F-FA2-L3-S1,15072,1336-WA070
51890,1336-B030-EAF,15073,1336-WA115
51892,1336-B030-EAF-FA2,15071,1336-TR-SP7A
51893,1336-B030-EAF-FA2-L3,15069,1336-TR-SP2A
51891,1336-B030-EAF-S1,15070,1336-TR-SP4A
51896,1336-B030-ECF,15068,1336-TR-SP1A
51901,1336-B040-E0G,15067,1336-SCR-SP9A
51903,1336-B040-E0G-L3,15066,1336-SCR-SP8A
51902,1336-B040-E0G-L3-S1,15065,1336-SCR-SP7A
51898,1336-B040-EAG,15064,1336-SCR-SP5A
65071,1336-B040-EAG-FA2,15063,1336-SCR-SP3A
51900,1336-B040-EAG-FA2-L3,15062,1336-SCR-SP1A
51899,1336-B040-EAG-S1,15061,1336-SCR-SP15A
51905,1336-B050-E0G,15060,1336-SCR-SP13A
51909,1336-B050-EAG,15059,1336-SCR-SP11A
51911,1336-B050-EAG-FA2-L2,15058,1336-RLOAD-SP6A
58292,1336E-A007-AA-EN-GM1-HA1-L9E,15056,1336-RLOAD-SP4A
58247,1336E-A007-AA-EN-HA1-L9E,15057,1336-RLOAD-SP5A
58205,1336E-A007-AA-EN-HA2,15055,1336-RFB-80-C
58158,1336E-A007-AN-EN,15053,1336-RFB-7-A
58157,1336E-A010-AA-EN,15054,1336-RFB-7-AA
58221,1336E-A010-AE-EN-HA2-L6,15051,1336-RFB-30-A4
58140,1336E-A010-AN-EN,15052,1336-RFB-48-B
58156,1336E-A015-AA-EN,15050,1336-RFB-30-A
58220,1336E-A015-AA-EN-GM1-HA,15049,1336-RFB-27-B
58190,1336E-A015-AE-EN-HA2,15048,1336-RFB-16-AA
58189,1336E-A040-AE-EN-HA2,15046,1336-RF4
58188,1336E-A100-AE-EN-HA2,15047,1336-RFB-16-A
15096,1336E-AA2,15045,1336-R2-SP5A
15097,1336E-AA3,15043,1336-R1-SP4B
15098,1336E-AA4,15044,1336-R1-SP5A
15099,1336E-AA5,15042,1336-R1-SP2A
15156,1336E-AJA4C,15041,1336-P-11X17X1-COVER
58201,1336E-AQF10-AA-EN-HA2,15040,1336-MOV-SP5A
58161,1336E-AQF10-AN-EN,15039,1336-MOV-SP1A
58256,1336E-AQF10-AN-EN-HA2-L9E,15038,1336-MOD-S1
58284,1336E-AQF15-AE-EN-HA2-L6,15037,1336-MOD-RP3
58162,1336E-AQF20-AA-EN,15036,1336-MOD-RP2
58164,1336E-AQF20-AN-EN,15034,1336-MOD-RCE
15100,1336E-AQF50-AA-EN,15035,1336-MOD-RCF
15101,1336E-AQF50-AN-EN,15033,1336-MOD-RCD
58280,1336E-AQF50-AN-EN-HA2-L8E,15031,1336-MOD-L3
58255,1336E-AQF50-AN-EN-HA2-L9E,15032,1336-MOD-N1
15102,1336E-B015-AA-EN,15030,1336-MOD-L2
58187,1336E-B015-AA-EN-HA2,15029,1336-MOD-L1
58215,1336E-B015-AA-EN-HA2-L6,15028,1336-MOD-KC050
58246,1336E-B015-AA-EN-HA2-L7E,15027,1336-MOD-KB050
15103,1336E-B015-AA-EN-HA2-L8E,15025,1336-MOD-KB005
58191,1336E-B015-AA-EN-L8E,15026,1336-MOD-KB010
15104,1336E-B015-AE-EN,15024,1336-MOD-KA010
63661,1336E-B015-AE-EN-HA2,15023,1336-MOD-KA005
58216,1336E-B015-AJ-EN-HJ2-L6,15021,1336-MOD-FC3
58155,1336E-B015-AN-EN,15022,1336-MOD-G2
58288,1336E-B015-AN-EN-GM1-HA2-L6,15020,1336-MOD-FA2
58180,1336E-B015-AN-EN-HA2,15019,1336-MOD-FA1
15105,1336E-B015-AN-EN-HA2-L8E,15018,1336-MOD-EAE
58154,1336E-B020-AA-EN,15017,1336-MOD-EAD
58287,1336E-B020-AA-EN-GM2-HA2-L6,15016,1336-MOD-E2
58245,1336E-B020-AA-EN-HA2-L9E,15015,1336-MOD-E1
58186,1336E-B020-AA-EN-HAB,14939,1336-135769
58185,1336E-B020-AA-EN-L8E,14944,1336-135775
58178,1336E-B020-AE-EN-HA2,15013,1336-L9-A
58219,1336E-B020-AN-EN-HAP-L4,15012,1336-L8E
58152,1336E-B025-AA-EN,15014,1336-L9E
58286,1336E-B025-AA-EN-GM1-HA2-L5,15011,1336-L6E/L9E
58181,1336E-B025-AE-EN-L9E,15009,1336-L6E
58139,1336E-B025-AN-EN,15010,1336-L6E/B
58151,1336E-B030-AA-EN,15008,1336-L6
58299,1336E-B030-AA-EN-GM1-HA2-L7E,15006,1336-L4E
58244,1336E-B030-AA-EN-HA2-L8E,15007,1336-L5
58150,1336E-B030-AA-FR,15004,1336-L-SP2C
58149,1336E-B030-AE-EN,15005,1336-L4
58298,1336E-B030-AN-EN-GM1-HA2-L7E,15002,1336-GMS2
58293,1336E-B030-AN-EN-GM1-HA2-L9E,15003,1336-L-SP1C
58148,1336E-B040-AE-EN,15001,1336-GM6
58218,1336E-B040-AE-EN-HA2-L6,15000,1336-GM5
58230,1336E-B040-AE-EN-HA2-L9E,14999,1336-GM1
15107,1336E-B040-AN-EN,14997,1336-GF-SP3A
58176,1336E-B040-AN-EN-L6,14998,1336-GF-SP6A
58159,1336E-B050-AA-EN,14996,1336-F2-SP7A
58297,1336E-B050-AA-EN-GM1-HA2-L9E,14995,1336-F1-SP8B
58243,1336E-B050-AA-EN-HA2-L8E,14994,1336-F1-SP6A
58225,1336E-B050-AA-EN-HA2-L9E,14992,1336-F1-SP15A
58141,1336E-B050-AE-EN,14993,1336-F1-SP20B
15108,1336E-B050-AE-EN-HA2-L8E,14991,1336-EM-CBSP2A
58138,1336E-B050-AN-EN,14987,1336-CONV-SP17A
58242,1336E-B050-AN-EN-GM1-L8E,14989,1336-CT-SP4A
58241,1336E-B050-AN-EN-GM1-LSE,14988,1336-CT-SP1A
58240,1336E-B050-AN-EN-GM5-L8E,14985,1336-155970
